cdr_id,caller_phone,receiver_phone,timestamp,duration_sec,cell_tower,case_hint
CDR-0001,PH001,PH002,2026-08-21 11:01:00,404,TWR-DEL-MER,CASE-1002
CDR-0002,PH001,PH002,2026-08-08 12:47:00,77,TWR-NOI-18,CASE-1005
CDR-0003,PH001,PH002,2026-08-14 09:01:00,72,TWR-NOI-W7,CASE-1002
CDR-0004,PH001,PH002,2026-08-18 03:01:00,312,TWR-NOI-W7,CASE-1005
CDR-0005,PH001,PH002,2026-08-14 15:28:00,326,TWR-DEL-MER,CASE-1001
CDR-0006,PH001,PH002,2026-08-25 13:44:00,241,TWR-DEL-MER,CASE-1003
CDR-0007,PH001,PH002,2026-08-05 14:48:00,197,TWR-NOI-18,CASE-1001
CDR-0008,PH001,PH002,2026-08-13 11:22:00,201,TWR-DEL-MER,CASE-1001
CDR-0009,PH001,PH002,2026-08-24 22:34:00,88,TWR-GHA-IND,CASE-1001
CDR-0010,PH001,PH002,2026-08-18 17:53:00,346,TWR-DEL-MER,CASE-1005
CDR-0011,PH001,PH002,2026-08-08 06:04:00,48,TWR-NOI-W7,CASE-1003
CDR-0012,PH001,PH002,2026-08-03 15:55:00,76,TWR-GHA-IND,CASE-1003
CDR-0013,PH001,PH002,2026-08-16 04:53:00,211,TWR-NOI-W7,CASE-1003
CDR-0014,PH001,PH002,2026-08-12 14:42:00,161,TWR-NOI-18,CASE-1005
CDR-0015,PH001,PH002,2026-08-21 13:34:00,398,TWR-NOI-W7,CASE-1002
CDR-0016,PH001,PH002,2026-08-15 20:17:00,352,TWR-NOI-W7,CASE-1003
CDR-0017,PH001,PH002,2026-08-25 09:14:00,41,TWR-DEL-MER,CASE-1004
CDR-0018,PH001,PH002,2026-08-09 10:13:00,315,TWR-DEL-MER,CASE-1002
CDR-0019,PH002,PH003,2026-08-21 23:25:00,354,TWR-GHA-IND,CASE-1002
CDR-0020,PH002,PH003,2026-08-09 12:15:00,406,TWR-DEL-MER,CASE-1005
