transaction_id,sender_account,receiver_account,amount_inr,date,type,case_hint
TXN-0001,A001,A002,480000,2026-08-16,NEFT,CASE-1001
TXN-0002,A002,A003,420000,2026-08-16,IMPS,CASE-1002
TXN-0003,A003,A004,365000,2026-08-17,NEFT,CASE-1003
TXN-0004,A004,A005,310000,2026-08-18,IMPS,CASE-1003
TXN-0005,A005,A007,85000,2026-08-19,NEFT,CASE-1005
TXN-0006,A003,A006,120000,2026-08-20,NEFT,CASE-1004
TXN-0007,A006,A001,50000,2026-08-21,IMPS,CASE-1004
TXN-0008,A007,A002,70000,2026-08-21,NEFT,CASE-1005
TXN-0009,A007,A003,33000,2026-08-22,UPI,
TXN-0010,A004,A003,45000,2026-08-21,UPI,
TXN-0011,A007,A004,5000,2026-08-18,UPI,
TXN-0012,A005,A001,45000,2026-08-08,UPI,
TXN-0013,A006,A003,45000,2026-08-08,UPI,
TXN-0014,A001,A004,45000,2026-08-04,UPI,
TXN-0015,A006,A001,12000,2026-08-15,UPI,
TXN-0016,A006,A003,5000,2026-08-01,UPI,
TXN-0017,A003,A001,18000,2026-08-10,UPI,
TXN-0018,A003,A004,12000,2026-08-05,UPI,
TXN-0019,A005,A004,45000,2026-08-19,UPI,
TXN-0020,A007,A002,12000,2026-08-06,UPI,
TXN-0021,A001,A005,33000,2026-08-13,UPI,
TXN-0022,A006,A002,33000,2026-08-16,UPI,
TXN-0023,A002,A007,45000,2026-08-15,UPI,
TXN-0024,A003,A004,45000,2026-08-09,UPI,
TXN-0025,A001,A004,45000,2026-08-10,UPI,
TXN-0026,A005,A002,25000,2026-08-03,UPI,
TXN-0027,A003,A005,45000,2026-08-10,UPI,
TXN-0028,A004,A006,25000,2026-08-09,UPI,
TXN-0029,A007,A003,25000,2026-08-07,UPI,
TXN-0030,A007,A004,12000,2026-08-04,UPI,
TXN-0031,A004,A005,33000,2026-08-12,UPI,
TXN-0032,A003,A006,5000,2026-08-10,UPI,
TXN-0033,A007,A006,18000,2026-08-13,UPI,
TXN-0034,A001,A005,45000,2026-08-22,UPI,
TXN-0035,A001,A005,25000,2026-08-24,UPI,
TXN-0036,A007,A003,12000,2026-08-25,UPI,
TXN-0037,A005,A003,45000,2026-08-08,UPI,
TXN-0038,A002,A005,45000,2026-08-09,UPI,
TXN-0039,A007,A006,45000,2026-08-25,UPI,
TXN-0040,A006,A002,5000,2026-08-21,UPI,
TXN-0041,A006,A007,18000,2026-08-02,UPI,
TXN-0042,A007,A004,33000,2026-08-02,UPI,
TXN-0043,A003,A006,5000,2026-08-05,UPI,
TXN-0044,A003,A007,25000,2026-08-24,UPI,
TXN-0045,A002,A007,33000,2026-08-05,UPI,
TXN-0046,A003,A005,18000,2026-08-17,UPI,
TXN-0047,A007,A002,25000,2026-08-09,UPI,
TXN-0048,A007,A003,18000,2026-08-24,UPI,
TXN-0049,A007,A001,5000,2026-08-15,UPI,
TXN-0050,A002,A007,45000,2026-08-22,UPI,
TXN-0051,A006,A004,18000,2026-08-18,UPI,
TXN-0052,A001,A004,18000,2026-08-01,UPI,
TXN-0053,A005,A001,18000,2026-08-15,UPI,
TXN-0054,A006,A007,18000,2026-08-22,UPI,
TXN-0055,A005,A004,18000,2026-08-21,UPI,
TXN-0056,A001,A006,25000,2026-08-08,UPI,
TXN-0057,A001,A005,18000,2026-08-18,UPI,
TXN-0058,A005,A002,5000,2026-08-21,UPI,
TXN-0059,A006,A004,18000,2026-08-23,UPI,
TXN-0060,A006,A004,12000,2026-08-04,UPI,
TXN-0061,A001,A007,25000,2026-08-10,UPI,
TXN-0062,A001,A007,33000,2026-08-08,UPI,
TXN-0063,A002,A004,18000,2026-08-15,UPI,
TXN-0064,A006,A007,33000,2026-08-23,UPI,
TXN-0065,A004,A005,45000,2026-08-24,UPI,
TXN-0066,A002,A004,5000,2026-08-21,UPI,
TXN-0067,A007,A004,25000,2026-08-20,UPI,
TXN-0068,A003,A001,18000,2026-08-23,UPI,
