surv_id,timestamp,location_id,person_id,vehicle_id,event_type,case_hint
SURV-0001,2026-08-12 20:15,L001,P001,V001,ARRIVAL,CASE-1001
SURV-0002,2026-08-12 20:27,L001,P002,V002,ARRIVAL,CASE-1001
SURV-0003,2026-08-12 20:31,L001,P003,V003,OBSERVED,CASE-1001
SURV-0004,2026-08-15 18:45,L005,P002,V002,ARRIVAL,CASE-1002
SURV-0005,2026-08-15 19:10,L005,P005,V005,ARRIVAL,CASE-1002
SURV-0006,2026-08-15 19:18,L005,P003,V003,ARRIVAL,CASE-1002
SURV-0007,2026-08-18 22:05,L004,P004,V004,ARRIVAL,CASE-1003
SURV-0008,2026-08-18 22:20,L004,P009,,OBSERVED,CASE-1003
SURV-0009,2026-08-18 22:42,L004,P003,V003,OBSERVED,CASE-1003
SURV-0010,2026-08-20 17:32,L003,P003,V003,ARRIVAL,CASE-1004
SURV-0011,2026-08-20 17:40,L003,P001,V001,ARRIVAL,CASE-1004
SURV-0012,2026-08-20 17:51,L003,P004,V004,OBSERVED,CASE-1004
SURV-0013,2026-08-21 21:00,L002,P005,V005,ARRIVAL,CASE-1005
SURV-0014,2026-08-21 21:08,L002,P010,,OBSERVED,CASE-1005
SURV-0015,2026-08-21 21:11,L002,P008,,OBSERVED,CASE-1005
SURV-0016,2026-08-08 11:06,L004,P004,V003,OBSERVED,
SURV-0017,2026-08-21 11:03,L003,P011,V004,OBSERVED,
SURV-0018,2026-08-04 14:05,L003,P007,V001,OBSERVED,
SURV-0019,2026-08-21 19:01,L002,P011,V005,OBSERVED,
SURV-0020,2026-08-05 18:13,L003,P001,V001,OBSERVED,
SURV-0021,2026-08-19 06:52,L005,P002,V001,OBSERVED,
SURV-0022,2026-08-20 00:17,L003,P004,V001,OBSERVED,
SURV-0023,2026-08-09 05:07,L002,P003,V004,OBSERVED,
SURV-0024,2026-08-01 11:50,L001,P011,V001,OBSERVED,
SURV-0025,2026-08-01 05:16,L005,P004,V002,OBSERVED,
SURV-0026,2026-08-14 16:07,L002,P001,V005,OBSERVED,
SURV-0027,2026-08-15 11:32,L001,P012,V003,OBSERVED,
SURV-0028,2026-08-17 07:39,L001,P010,V003,OBSERVED,
SURV-0029,2026-08-17 09:29,L006,P001,V005,OBSERVED,
SURV-0030,2026-08-16 12:27,L001,P011,,OBSERVED,
SURV-0031,2026-08-23 14:04,L001,P011,V003,OBSERVED,
SURV-0032,2026-08-05 02:08,L003,P002,V004,OBSERVED,
SURV-0033,2026-08-19 17:45,L005,P005,V005,OBSERVED,
SURV-0034,2026-08-17 09:29,L004,P006,V004,OBSERVED,
SURV-0035,2026-08-04 22:07,L005,P009,V003,OBSERVED,
SURV-0036,2026-08-24 06:27,L006,P011,V004,OBSERVED,
SURV-0037,2026-08-11 14:25,L002,P008,V003,OBSERVED,
SURV-0038,2026-08-11 13:20,L006,P007,,OBSERVED,
SURV-0039,2026-08-05 21:59,L003,P011,V002,OBSERVED,
SURV-0040,2026-08-03 02:27,L001,P008,,OBSERVED,
SURV-0041,2026-08-12 04:35,L006,P002,V005,OBSERVED,
SURV-0042,2026-08-18 10:42,L005,P001,V004,OBSERVED,
SURV-0043,2026-08-22 13:55,L004,P002,V002,OBSERVED,
SURV-0044,2026-08-20 09:22,L001,P012,V002,OBSERVED,
SURV-0045,2026-08-07 04:42,L005,P002,V004,OBSERVED,
SURV-0046,2026-08-12 17:23,L002,P008,,OBSERVED,
SURV-0047,2026-08-08 13:54,L003,P002,V004,OBSERVED,
SURV-0048,2026-08-22 20:35,L005,P009,V004,OBSERVED,
SURV-0049,2026-08-23 08:01,L005,P001,V005,OBSERVED,
SURV-0050,2026-08-25 09:58,L003,P003,V005,OBSERVED,
SURV-0051,2026-08-06 04:36,L003,P006,,OBSERVED,
SURV-0052,2026-08-05 23:40,L004,P011,,OBSERVED,
SURV-0053,2026-08-17 06:24,L001,P001,V005,OBSERVED,
SURV-0054,2026-08-06 11:19,L004,P007,V002,OBSERVED,
SURV-0055,2026-08-20 02:56,L003,P012,V004,OBSERVED,
SURV-0056,2026-08-25 19:03,L002,P001,V001,OBSERVED,
SURV-0057,2026-08-15 21:27,L001,P011,V002,OBSERVED,
SURV-0058,2026-08-14 08:13,L005,P008,V003,OBSERVED,
SURV-0059,2026-08-14 03:18,L001,P009,V002,OBSERVED,
SURV-0060,2026-08-16 16:42,L006,P011,V004,OBSERVED,
SURV-0061,2026-08-13 19:03,L001,P005,V001,OBSERVED,
SURV-0062,2026-08-07 04:48,L002,P001,V002,OBSERVED,
SURV-0063,2026-08-04 00:31,L003,P005,V002,OBSERVED,
SURV-0064,2026-08-05 12:34,L004,P012,V001,OBSERVED,
SURV-0065,2026-08-18 21:51,L002,P012,V004,OBSERVED,
SURV-0066,2026-08-24 01:27,L001,P006,V003,OBSERVED,
SURV-0067,2026-08-11 18:27,L004,P001,,OBSERVED,
SURV-0068,2026-08-21 13:18,L004,P010,V005,OBSERVED,
SURV-0069,2026-08-11 05:51,L004,P002,,OBSERVED,
SURV-0070,2026-08-12 02:27,L004,P010,V005,OBSERVED,
SURV-0071,2026-08-19 12:33,L002,P002,V003,OBSERVED,
SURV-0072,2026-08-24 10:14,L004,P002,V002,OBSERVED,
SURV-0073,2026-08-17 20:07,L002,P006,,OBSERVED,
SURV-0074,2026-08-25 11:22,L005,P009,V001,OBSERVED,
SURV-0075,2026-08-08 03:09,L006,P012,V001,OBSERVED,
SURV-0076,2026-08-20 04:48,L002,P005,V001,OBSERVED,
SURV-0077,2026-08-25 20:31,L001,P011,V001,OBSERVED,
SURV-0078,2026-08-15 21:59,L005,P008,V004,OBSERVED,
SURV-0079,2026-08-20 10:55,L006,P010,V005,OBSERVED,
SURV-0080,2026-08-15 02:30,L003,P011,V001,OBSERVED,
SURV-0081,2026-08-09 18:03,L006,P008,V002,OBSERVED,
SURV-0082,2026-08-10 14:28,L005,P006,,OBSERVED,
SURV-0083,2026-08-10 02:41,L001,P001,V002,OBSERVED,
SURV-0084,2026-08-17 12:29,L005,P002,V004,OBSERVED,
SURV-0085,2026-08-02 14:58,L005,P010,V005,OBSERVED,
SURV-0086,2026-08-11 19:30,L006,P010,V001,OBSERVED,
